Protein Name,UniProt Accession,Accession (without isoform number),Gene Name,BPA ,P value,E2,P value,PCB,P value,Pht,P value,EntrezGene
Early endosome antigen 1  ,sp|Q8BL66|EEA1_MOUSE,Q8BL66,Eea1,0.28,0.204,0.31,0.317,-0.15,0.542,-0.02,0.431,216238
Echinoderm microtubule-associated protein-like 2  ,sp|Q7TNG5|EMAL2_MOUSE,Q7TNG5,Eml2,-0.27,0.126,-0.63,0.034,-0.29,0.209,-0.12,0.703,72205
Echinoderm microtubule-associated protein-like 3  ,sp|Q8VC03|EMAL3_MOUSE,Q8VC03,Eml3,-0.16,0.553,0.29,0.738,0.38,0.136,-0.63,0.246,225898
Echinoderm microtubule-associated protein-like 4  ,sp|Q3UMY5|EMAL4_MOUSE,Q3UMY5,Eml4,0.14,0.416,0.11,0.63,0.23,0.192,-0.07,0.8,78798
Ectonucleotide pyrophosphatase/phosphodiesterase family member 3  ,sp|Q6DYE8|ENPP3_MOUSE,Q6DYE8,Enpp3,0.01,0.969,-0.08,0.816,-0.04,0.255,-0.35,0.033,209558
EF-hand calcium-binding domain-containing protein 4A  ,sp|Q80ZJ8|EFC4A_MOUSE,Q80ZJ8,Cracr2b,0.12,0.64,0.26,0.194,0.39,0.154,0.36,0.693,213573
EGF-containing fibulin-like extracellular matrix protein 2  ,sp|Q9WVJ9|FBLN4_MOUSE,Q9WVJ9,Efemp2,0.18,0.447,0.49,0.122,-0.25,0.647,-0.41,0.206,58859
EGF-like repeat and discoidin I-like domain-containing protein 3  ,sp|O35474|EDIL3_MOUSE,O35474,Edil3,-0.15,0.604,0.02,0.999,0.04,0.791,0.11,0.856,13612
Egl nine homolog 1  ,sp|Q91YE3|EGLN1_MOUSE,Q91YE3,Egln1,-0.11,0.552,-0.13,0.746,0.25,0.658,0.41,0.165,112405
EH domain-containing protein 1  ,sp|Q9WVK4|EHD1_MOUSE,Q9WVK4,Ehd1,0.19,0.235,0.5,0.042,-0.38,0.234,-0.55,0.478,13660
EH domain-containing protein 2  ,sp|Q8BH64|EHD2_MOUSE,Q8BH64,Ehd2,0.13,0.49,0.6,0.01,0.2,0.414,0.11,0.497,259300
EH domain-containing protein 3  ,sp|Q9QXY6|EHD3_MOUSE,Q9QXY6,Ehd3,0.19,0.303,-0.19,0.757,0.05,0.881,0.38,0.119,57440
EH domain-containing protein 4  ,sp|Q9EQP2|EHD4_MOUSE,Q9EQP2,Ehd4,-0.07,0.671,-0.28,0.148,-0.01,0.715,-0.03,0.479,98878
ELAV-like protein 1  ,sp|P70372|ELAV1_MOUSE,P70372,Elavl1,0.05,0.773,0.13,0.829,-0.56,0.982,-1.18,0.379,15568
"Electron transfer flavoprotein subunit alpha, mitochondrial  ",sp|Q99LC5|ETFA_MOUSE,Q99LC5,Etfa,-0.54,0.461,-0.67,0.307,0.13,0.678,0.44,0.914,110842
Electron transfer flavoprotein subunit beta  ,sp|Q9DCW4|ETFB_MOUSE,Q9DCW4,Etfb,-0.16,0.651,-0.23,0.573,0.08,0.712,0.46,0.296,110826
"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial  ",sp|Q921G7|ETFD_MOUSE,Q921G7,Etfdh,-0.3,0.434,-0.3,0.349,0.46,0.222,0.54,0.165,66841
ELKS/Rab6-interacting/CAST family member 1  ,sp|Q99MI1|RB6I2_MOUSE,Q99MI1,Erc1,0.14,0.502,-0.08,0.833,0.08,0.914,0.06,0.51,111173
Elongation factor 1-alpha 1  ,sp|P10126|EF1A1_MOUSE,P10126,Eef1a1,-0.23,0.459,-0.12,0.613,0.14,0.489,0.14,0.966,13627
Elongation factor 1-beta  ,sp|O70251|EF1B_MOUSE,O70251,Eef1b,-0.05,0.856,-0.43,0.338,-0.18,0.522,-0.3,0.283,55949
Elongation factor 1-delta  ,sp|P57776|EF1D_MOUSE,P57776,Eef1d,-0.59,0.048,-0.58,0.066,0.08,0.435,0.63,0.49,66656
Elongation factor 1-gamma  ,sp|Q9D8N0|EF1G_MOUSE,Q9D8N0,Eef1g,-0.18,0.341,-0.26,0.443,-0.32,0.386,-0.31,0.714,67160
Elongation factor 2  ,sp|P58252|EF2_MOUSE,P58252,Eef2,0,0.991,-0.04,0.681,0.07,0.962,0.17,0.917,13629
"Elongation factor G, mitochondrial  ",sp|Q8K0D5|EFGM_MOUSE,Q8K0D5,Gfm1,0.46,0.237,-0.17,0.744,0.5,0.367,0.46,0.943,28030
"Elongation factor Ts, mitochondrial  ",sp|Q9CZR8|EFTS_MOUSE,Q9CZR8,Tsfm,0.39,0.117,0.21,0.223,0.33,0.301,0.47,0.086,66399
Elongation factor Tu GTP-binding domain-containing protein 1  ,sp|Q8C0D5|ETUD1_MOUSE,Q8C0D5,Eftud1,0.05,0.791,0.11,0.219,-0.18,0.93,0.1,0.08,101592
"Elongation factor Tu, mitochondrial  ",sp|Q8BFR5|EFTU_MOUSE,Q8BFR5,Tufm,0.01,0.987,-0.13,0.648,0.42,0.588,0.67,0.607,233870
Elongation of very long chain fatty acids protein 1  ,sp|Q9JLJ5|ELOV1_MOUSE,Q9JLJ5,Elovl1,0.1,0.675,0.15,0.642,-0.12,0.823,-0.19,0.679,54325
Elongator complex protein 1  ,sp|Q7TT37|ELP1_MOUSE,Q7TT37,Ikbkap,0.17,0.417,0.38,0.047,0.05,0.322,0.25,0.466,230233
Elongator complex protein 2  ,sp|Q91WG4|ELP2_MOUSE,Q91WG4,Elp2,-0.17,0.308,-0.07,0.939,-0.06,0.582,-0.12,0.634,58523
Elongator complex protein 3  ,sp|Q9CZX0|ELP3_MOUSE,Q9CZX0,Elp3,-0.05,0.801,0.24,0.207,0.08,0.973,0.01,0.943,74195
Elongator complex protein 4  ,sp|Q9ER73|ELP4_MOUSE,Q9ER73,Elp4,-0.03,0.844,0.02,0.827,-0.1,0.871,-0.21,0.403,77766
EMI domain-containing protein 1  ,sp|Q91VF5|EMID1_MOUSE,Q91VF5,Emid1,0.47,0.211,0.32,0.378,0.07,0.848,0.15,0.785,140703
"Endonuclease G, mitochondrial  ",sp|O08600|NUCG_MOUSE,O08600,Endog,-0.1,0.68,-0.04,0.41,0.02,0.691,-0.02,0.424,13804
Endophilin-A2  ,sp|Q62419|SH3G1_MOUSE,Q62419,Sh3gl1,0.25,0.285,0.17,0.88,0.18,0.227,0.14,0.271,20405
Endophilin-B1  ,sp|Q9JK48|SHLB1_MOUSE,Q9JK48,Sh3glb1,0.19,0.431,0.22,0.247,0.08,0.295,-0.26,0.903,54673
Endoplasmic reticulum aminopeptidase 1  ,sp|Q9EQH2|ERAP1_MOUSE,Q9EQH2,Erap1,-0.34,0.091,-0.35,0.05,-0.4,0.19,-0.5,0.691,80898
Endoplasmic reticulum lectin 1  ,sp|Q8VEH8|ERLEC_MOUSE,Q8VEH8,Erlec1,-0.05,0.802,-0.04,0.717,0.03,0.722,-0.02,0.894,66753
Endoplasmic reticulum resident protein 29  ,sp|P57759|ERP29_MOUSE,P57759,Erp29,-0.04,0.814,0.05,0.861,-0.24,0.252,-0.06,0.976,67397
Endoplasmic reticulum resident protein 44  ,sp|Q9D1Q6|ERP44_MOUSE,Q9D1Q6,Erp44,-0.18,0.326,-0.1,0.254,-0.5,0.196,-0.35,0.478,76299
Endoplasmin  ,sp|P08113|ENPL_MOUSE,P08113,Hsp90b1,-0.47,0.074,-0.64,0.062,-0.02,0.588,0.04,0.723,22027
Endothelial differentiation-related factor 1  ,sp|Q9JMG1|EDF1_MOUSE,Q9JMG1,Edf1,-0.26,0.363,0.19,0.535,-0.08,0.57,-0.06,0.228,59022
Engulfment and cell motility protein 1  ,sp|Q8BPU7|ELMO1_MOUSE,Q8BPU7,Elmo1,0.07,0.688,-0.04,0.637,0.08,0.958,0.22,0.696,140580
Enhancer of mRNA-decapping protein 3  ,sp|Q8K2D3|EDC3_MOUSE,Q8K2D3,Edc3,-0.17,0.445,-0.04,0.567,0.08,0.983,0.17,0.992,353190
Enhancer of mRNA-decapping protein 4  ,sp|Q3UJB9|EDC4_MOUSE,Q3UJB9,Edc4,0.14,0.424,0.02,0.757,0.38,0.336,0.58,0.322,234699
Enhancer of rudimentary homolog  ,sp|P84089|ERH_MOUSE,P84089,Erh,-0.19,0.39,-0.14,0.887,-0.32,0.642,-0.13,0.606,13877
Enhancer of yellow 2 transcription factor homolog  ,sp|Q9JIX0|ENY2_MOUSE,Q9JIX0,Eny2,-0.25,0.207,-0.31,0.181,0.19,0.957,0.43,0.483,223527
Enolase-phosphatase E1  ,sp|Q8BGB7|ENOPH_MOUSE,Q8BGB7,Enoph1,0.32,0.144,-0.1,0.382,-0.21,0.571,-0.73,0.468,67870
"Enoyl-CoA delta isomerase 1, mitochondrial  ",sp|P42125|ECI1_MOUSE,P42125,Eci1,-0.13,0.782,-0.15,0.69,0.23,0.663,0.48,0.088,13177
"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial  ",sp|Q3TLP5|ECHD2_MOUSE,Q3TLP5,Echdc2,-0.12,0.673,-0.25,0.488,-0.17,0.931,-0.41,0.766,52430
"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial  ",sp|Q9D7J9|ECHD3_MOUSE,Q9D7J9,Echdc3,0.52,0.036,0.08,0.977,0.5,0.043,0.53,0.15,67856
"Enoyl-CoA hydratase, mitochondrial  ",sp|Q8BH95|ECHM_MOUSE,Q8BH95,Echs1,-0.85,0.327,-0.79,0.215,0.18,0.651,0.61,0.814,93747
Ensconsin  ,sp|O88735|MAP7_MOUSE,O88735,Map7,0.2,0.489,0.03,0.582,0.12,0.628,-0.03,0.593,17761
Ephrin type-B receptor 4  ,sp|P54761|EPHB4_MOUSE,P54761,Ephb4,0,0.997,0.36,0.54,0,0.852,-0.31,0.966,13846
Epidermal growth factor receptor  ,sp|Q01279|EGFR_MOUSE,Q01279,Egfr,0.44,0.026,0.23,0.011,0.37,0.55,0.52,0.943,13649
Epidermal growth factor receptor kinase substrate 8  ,sp|Q08509|EPS8_MOUSE,Q08509,Eps8,0.34,0.158,0.25,0.609,0.03,0.035,-0.55,0.196,13860
Epidermal growth factor receptor kinase substrate 8-like protein 1  ,sp|Q8R5F8|ES8L1_MOUSE,Q8R5F8,Eps8l1,0.06,0.753,-0.31,0.223,0.02,0.767,-0.04,0.707,67425
Epidermal growth factor receptor kinase substrate 8-like protein 2  ,sp|Q99K30|ES8L2_MOUSE,Q99K30,Eps8l2,0.14,0.458,0.07,0.985,-0.31,0.532,-0.38,0.706,98845
Epidermal growth factor receptor substrate 15  ,sp|P42567|EPS15_MOUSE,P42567,Eps15,-0.06,0.722,0.49,0.077,0.14,0.536,-0.09,0.49,13858
Epididymal secretory protein E1  ,sp|Q9Z0J0|NPC2_MOUSE,Q9Z0J0,Npc2,-0.79,0.035,-0.87,0.14,-0.62,0.248,-1.04,0.525,67963
Epididymis-specific alpha-mannosidase  ,sp|O54782|MA2B2_MOUSE,O54782,Man2b2,-0.38,0.2,-0.12,0.256,-0.48,0.216,-0.54,0.684,17160
Epiplakin  ,sp|Q8R0W0|EPIPL_MOUSE,Q8R0W0,Eppk1,0.38,0.147,0.19,0.541,-0.06,0.512,-0.46,0.968,223650
Epithelial cell adhesion molecule  ,sp|Q99JW5|EPCAM_MOUSE,Q99JW5,Epcam,-0.24,0.458,-0.39,0.113,-0.18,0.271,-0.96,0.027,17075
Epithelial splicing regulatory protein 2  ,sp|Q8K0G8|ESRP2_MOUSE,Q8K0G8,Esrp2,0.28,0.168,0.42,0.151,-0.02,0.523,-0.31,0.638,77411
EPM2A-interacting protein 1  ,sp|Q8VEH5|EPMIP_MOUSE,Q8VEH5,Epm2aip1,-0.17,0.492,-0.2,0.354,0.22,0.962,0.16,0.688,77781
Epoxide hydrolase 1  ,sp|Q9D379|HYEP_MOUSE,Q9D379,Ephx1,-0.01,0.965,0.32,0.588,-0.03,0.959,-0.49,0.292,13849
Epsin-1  ,sp|Q80VP1|EPN1_MOUSE,Q80VP1,Epn1,0.42,0.175,0,0.646,0.49,0.124,0.28,0.683,13854
Equilibrative nucleoside transporter 1  ,sp|Q9JIM1|S29A1_MOUSE,Q9JIM1,Slc29a1,0.37,0.235,0.44,0.103,0.47,0.157,0.27,0.964,63959
ER membrane protein complex subunit 2  ,sp|Q9CRD2|EMC2_MOUSE,Q9CRD2,Emc2,-0.19,0.365,0.25,0.195,-0.02,0.887,0.35,0.634,66736
ER membrane protein complex subunit 4  ,sp|Q9CZX9|EMC4_MOUSE,Q9CZX9,Emc4,0.38,0.161,0.09,0.629,-0.48,0.314,0.09,0.353,68032
ER membrane protein complex subunit 8  ,sp|O70378|EMC8_MOUSE,O70378,Emc8,-0.2,0.331,-0.19,0.933,0.01,0.147,0.45,0.757,18117
Erlin-2  ,sp|Q8BFZ9|ERLN2_MOUSE,Q8BFZ9,Erlin2,-0.12,0.685,-0.25,0.776,-0.32,0.14,-0.15,0.92,244373
ERO1-like protein alpha  ,sp|Q8R180|ERO1A_MOUSE,Q8R180,Ero1l,-0.62,0.126,-0.49,0.006,-0.74,0.188,-0.76,0.207,50527
Ester hydrolase C11orf54 homolog   ,sp|Q91V76|CK054_MOUSE,Q91V76,N/A,-0.02,0.912,0.1,0.85,-0.21,0.872,-0.28,0.748,70984
Estradiol 17-beta-dehydrogenase 11  ,sp|Q9EQ06|DHB11_MOUSE,Q9EQ06,Hsd17b11,-0.17,0.652,-0.17,0.595,-0.35,0.099,0.23,0.942,114664
Estradiol 17-beta-dehydrogenase 12  ,sp|O70503|DHB12_MOUSE,O70503,Hsd17b12,-0.34,0.092,0.13,0.693,-0.39,0.422,-0.71,0.343,56348
Estradiol 17-beta-dehydrogenase 8  ,sp|P50171|DHB8_MOUSE,P50171,Hsd17b8,0.02,0.963,-0.25,0.41,-0.03,0.722,0.11,0.27,14979
Ethanolamine-phosphate cytidylyltransferase  ,sp|Q922E4|PCY2_MOUSE,Q922E4,Pcyt2,0.24,0.236,0.19,0.256,0.06,0.796,0.23,0.213,68671
ETS-related transcription factor Elf-1  ,sp|Q60775|ELF1_MOUSE,Q60775,Elf1,-0.13,0.741,-0.7,0.097,0.16,0.846,0.2,0.974,13709
Eukaryotic elongation factor 2 kinase  ,sp|O08796|EF2K_MOUSE,O08796,Eef2k,0.21,0.481,-0.06,0.113,-0.28,0.455,0.48,0.177,13631
Eukaryotic initiation factor 4A-I  ,sp|P60843|IF4A1_MOUSE,P60843,Eif4a1,-0.28,0.266,0.12,0.944,-0.2,0.863,-0.35,0.804,13681
Eukaryotic initiation factor 4A-II  ,sp|P10630|IF4A2_MOUSE,P10630,Eif4a2,0.1,0.648,-0.1,0.901,0.28,0.624,0.54,0.123,13682
Eukaryotic initiation factor 4A-III  ,sp|Q91VC3|IF4A3_MOUSE,Q91VC3,Eif4a3,-0.15,0.393,-0.36,0.534,0,0.583,-0.11,0.334,192170
Eukaryotic peptide chain release factor subunit 1  ,sp|Q8BWY3|ERF1_MOUSE,Q8BWY3,Etf1,-0.13,0.622,0.31,0.491,-0.55,0.631,-1.23,0.285,225363
Eukaryotic translation elongation factor 1 epsilon-1  ,sp|Q9D1M4|MCA3_MOUSE,Q9D1M4,Eef1e1,-0.04,0.795,0.42,0.325,-0.56,0.665,-1.43,0.672,66143
Eukaryotic translation initiation factor 1  ,sp|P48024|EIF1_MOUSE,P48024,Eif1,0.48,0.087,0.68,0.009,0.2,0.448,0.01,0.745,20918
Eukaryotic translation initiation factor 1A  ,sp|Q60872|IF1A_MOUSE,Q60872,Eif1a,-0.28,0.206,0.02,0.892,-0.2,0.25,-0.14,0.253,13664
"Eukaryotic translation initiation factor 1A, X-chromosomal  ",sp|Q8BMJ3|IF1AX_MOUSE,Q8BMJ3,Eif1ax,0.08,0.681,0.27,0.088,0.27,0.349,0.33,0.879,66235
Eukaryotic translation initiation factor 2 subunit 1  ,sp|Q6ZWX6|IF2A_MOUSE,Q6ZWX6,Eif2s1,-0.21,0.207,0.05,0.748,-0.22,0.255,-0.2,0.546,13665
Eukaryotic translation initiation factor 2 subunit 2  ,sp|Q99L45|IF2B_MOUSE,Q99L45,Eif2s2,-0.38,0.094,0.12,0.785,-0.49,0.109,-0.83,0.237,67204
"Eukaryotic translation initiation factor 2 subunit 3, X-linked  ",sp|Q9Z0N1|IF2G_MOUSE,Q9Z0N1,Eif2s3x,-0.3,0.252,-0.26,0.219,-0.01,0.679,-0.03,0.182,26905
Eukaryotic translation initiation factor 2A  ,sp|Q8BJW6|EIF2A_MOUSE,Q8BJW6,Eif2a,0.04,0.849,-0.16,0.581,-0.07,0.753,0.12,0.511,229317
Eukaryotic translation initiation factor 2D  ,sp|Q61211|EIF2D_MOUSE,Q61211,Eif2d,0.14,0.503,-0.03,0.526,-0.02,0.354,-0.04,0.235,16865
Eukaryotic translation initiation factor 3 subunit A  ,sp|P23116|EIF3A_MOUSE,P23116,Eif3a,-0.15,0.425,0.03,0.409,-0.13,0.859,-0.28,0.637,13669
Eukaryotic translation initiation factor 3 subunit B  ,sp|Q8JZQ9|EIF3B_MOUSE,Q8JZQ9,Eif3b,-0.19,0.322,-0.16,0.59,-0.18,0.802,-0.45,0.187,27979
Eukaryotic translation initiation factor 3 subunit C  ,sp|Q8R1B4|EIF3C_MOUSE,Q8R1B4,Eif3c,-0.18,0.32,-0.15,0.634,-0.01,0.715,-0.2,0.064,56347
Eukaryotic translation initiation factor 3 subunit D  ,sp|O70194|EIF3D_MOUSE,O70194,Eif3d,-0.04,0.855,0.2,0.661,-0.09,0.703,-0.43,0.632,55944
Eukaryotic translation initiation factor 3 subunit E  ,sp|P60229|EIF3E_MOUSE,P60229,Eif3e,0.06,0.831,0.22,0.369,-0.3,0.965,-0.65,0.153,16341
Eukaryotic translation initiation factor 3 subunit F  ,sp|Q9DCH4|EIF3F_MOUSE,Q9DCH4,Eif3f,-0.1,0.716,0.27,0.378,-0.17,0.803,-0.26,0.454,66085
Eukaryotic translation initiation factor 3 subunit G  ,sp|Q9Z1D1|EIF3G_MOUSE,Q9Z1D1,Eif3g,-0.03,0.852,0.19,0.334,-0.3,0.984,-0.73,0.29,53356
Eukaryotic translation initiation factor 3 subunit H  ,sp|Q91WK2|EIF3H_MOUSE,Q91WK2,Eif3h,-0.09,0.683,-0.07,0.609,0.02,0.561,0.1,0.74,68135
Eukaryotic translation initiation factor 3 subunit I  ,sp|Q9QZD9|EIF3I_MOUSE,Q9QZD9,Eif3i,-0.09,0.591,-0.12,0.255,-0.24,0.272,0.11,0.578,54709
Eukaryotic translation initiation factor 3 subunit J-B  ,sp|Q66JS6|EI3JB_MOUSE,Q66JS6,Eif3j2,0.12,0.63,0.02,0.997,-0.11,0.867,-0.23,0.687,100042807
Eukaryotic translation initiation factor 3 subunit K  ,sp|Q9DBZ5|EIF3K_MOUSE,Q9DBZ5,Eif3k,0.16,0.691,-0.02,0.989,0.49,0.292,0.49,0.675,73830
Eukaryotic translation initiation factor 3 subunit L  ,sp|Q8QZY1|EIF3L_MOUSE,Q8QZY1,Eif3l,-0.24,0.288,0.13,0.913,-0.24,0.853,-0.81,0.147,223691
Eukaryotic translation initiation factor 3 subunit M  ,sp|Q99JX4|EIF3M_MOUSE,Q99JX4,Eif3m,0.21,0.267,0.42,0.022,-0.01,0.29,-0.57,0.383,98221
Eukaryotic translation initiation factor 4 gamma 1  ,sp|Q6NZJ6|IF4G1_MOUSE,Q6NZJ6,Eif4g1,0.16,0.381,0.08,0.694,0.23,0.175,0.19,0.183,208643
Eukaryotic translation initiation factor 4 gamma 3  ,sp|Q80XI3|IF4G3_MOUSE,Q80XI3,Eif4g3,-0.1,0.528,-0.25,0.697,0.02,0.981,-0.11,0.573,230861
Eukaryotic translation initiation factor 4B  ,sp|Q8BGD9|IF4B_MOUSE,Q8BGD9,Eif4b,-0.03,0.859,-0.26,0.28,0.33,0.679,0.61,0.412,75705
Eukaryotic translation initiation factor 4E  ,sp|P63073|IF4E_MOUSE,P63073,Eif4e,0.05,0.806,-0.15,0.861,0,0.757,0.08,0.205,13684
Eukaryotic translation initiation factor 4E type 2  ,sp|Q8BMB3|IF4E2_MOUSE,Q8BMB3,Eif4e2,0.07,0.776,0.15,0.603,0.26,0.842,0.48,0.893,26987
Eukaryotic translation initiation factor 4E-binding protein 1  ,sp|Q60876|4EBP1_MOUSE,Q60876,Eif4ebp1,-0.02,0.936,0.69,0.166,-0.25,0.552,-0.48,0.421,13685
Eukaryotic translation initiation factor 4H  ,sp|Q9WUK2|IF4H_MOUSE,Q9WUK2,Eif4h,-0.19,0.415,-0.49,0.1,-0.2,0.417,-0.33,0.424,22384
Eukaryotic translation initiation factor 5A-1  ,sp|P63242|IF5A1_MOUSE,P63242,Eif5a,0.14,0.746,0.52,0.152,-0.79,0.792,-1.83,0.157,276770
Eukaryotic translation initiation factor 5B  ,sp|Q05D44|IF2P_MOUSE,Q05D44,Eif5b,-0.01,0.947,-0.16,0.551,-0.07,0.391,0.24,0.969,226982
Eukaryotic translation initiation factor 6  ,sp|O55135|IF6_MOUSE,O55135,Eif6,-0.23,0.258,-0.1,0.837,-0.1,0.212,0.28,0.668,16418
Exocyst complex component 1  ,sp|Q8R3S6|EXOC1_MOUSE,Q8R3S6,Exoc1,-0.1,0.784,0.1,0.518,-0.07,0.744,0.05,0.878,69940
Exocyst complex component 2  ,sp|Q9D4H1|EXOC2_MOUSE,Q9D4H1,Exoc2,-0.26,0.29,0.37,0.441,-0.74,0.976,-1.45,0.781,66482
Exocyst complex component 3  ,sp|Q6KAR6|EXOC3_MOUSE,Q6KAR6,Exoc3,0.01,0.963,0.17,0.374,0.01,0.88,0.15,0.51,211446
Exocyst complex component 4  ,sp|O35382|EXOC4_MOUSE,O35382,Exoc4,0.37,0.088,0.13,0.761,0.21,0.892,0.65,0.154,20336
Exocyst complex component 8  ,sp|Q6PGF7|EXOC8_MOUSE,Q6PGF7,Exoc8,0.5,0.03,0.4,0.221,0.19,0.631,0.75,0.131,102058
Exosome complex component CSL4  ,sp|Q9DAA6|EXOS1_MOUSE,Q9DAA6,Exosc1,0.2,0.412,0.15,0.342,0.06,0.648,0.12,0.731,66583
Exosome complex component MTR3  ,sp|Q8BTW3|EXOS6_MOUSE,Q8BTW3,Exosc6,0.14,0.445,-0.07,0.625,-0.11,0.327,0.06,0.114,72544
Exosome complex component RRP4  ,sp|Q8VBV3|EXOS2_MOUSE,Q8VBV3,Exosc2,0.19,0.423,0.55,0.011,0.13,0.937,0.12,0.253,227715
Exosome complex component RRP41  ,sp|Q921I9|EXOS4_MOUSE,Q921I9,Exosc4,0.16,0.474,0.28,0.364,0.17,0.164,0.31,0.035,109075
Exosome complex component RRP43  ,sp|Q9D753|EXOS8_MOUSE,Q9D753,Exosc8,0.25,0.371,0.07,0.468,0.19,0.135,-0.07,0.257,69639
Exosome complex component RRP45  ,sp|Q9JHI7|EXOS9_MOUSE,Q9JHI7,Exosc9,0,0.991,-0.28,0.738,-0.11,0.545,-0.07,0.112,50911
Exosome complex component RRP46  ,sp|Q9CRA8|EXOS5_MOUSE,Q9CRA8,Exosc5,0,0.995,0.23,0.071,0.1,0.381,-0.27,0.592,27998
Exosome complex exonuclease RRP42  ,sp|Q9D0M0|EXOS7_MOUSE,Q9D0M0,Exosc7,0.1,0.638,-0.09,0.65,0.31,0.261,0.63,0.074,66446
Exosome complex exonuclease RRP44  ,sp|Q9CSH3|RRP44_MOUSE,Q9CSH3,Dis3,-0.5,0.045,-0.48,0.104,-0.36,0.071,-0.33,0.254,72662
Exosome component 10  ,sp|P56960|EXOSX_MOUSE,P56960,Exosc10,0.42,0.17,-0.11,0.773,-0.17,0.76,-0.17,0.856,50912
Exostosin-2  ,sp|P70428|EXT2_MOUSE,P70428,Ext2,0.06,0.75,0.93,0.497,0.02,0.684,0.13,0.946,14043
Exportin-1  ,sp|Q6P5F9|XPO1_MOUSE,Q6P5F9,Xpo1,0.06,0.822,0.08,0.362,-0.32,0.735,-0.73,0.065,103573
Exportin-2  ,sp|Q9ERK4|XPO2_MOUSE,Q9ERK4,Cse1l,-0.08,0.705,0.04,0.509,-0.26,0.43,-0.52,0.085,110750
Exportin-4  ,sp|Q9ESJ0|XPO4_MOUSE,Q9ESJ0,Xpo4,-0.1,0.611,0.54,0.577,-0.06,0.644,-0.09,0.252,57258
Exportin-5  ,sp|Q924C1|XPO5_MOUSE,Q924C1,Xpo5,0.21,0.359,0.08,0.745,0.04,0.778,-0.16,0.205,72322
Exportin-7  ,sp|Q9EPK7|XPO7_MOUSE,Q9EPK7,Xpo7,-0.09,0.67,0.43,0.249,-0.29,0.394,-0.83,0.564,65246
Extended synaptotagmin-1  ,sp|Q3U7R1|ESYT1_MOUSE,Q3U7R1,Esyt1,-0.28,0.469,0.05,0.586,-0.49,0.838,-1.32,0.284,23943
Extended synaptotagmin-2  ,sp|Q3TZZ7|ESYT2_MOUSE,Q3TZZ7,Esyt2,0.4,0.114,0.27,0.179,0.12,0.747,0.4,0.297,52635
Extracellular sulfatase Sulf-2  ,sp|Q8CFG0|SULF2_MOUSE,Q8CFG0,Sulf2,0.2,0.427,0.13,0.632,-0.32,0.444,0.08,0.726,72043
Ezrin  ,sp|P26040|EZRI_MOUSE,P26040,Ezr,-0.54,0.228,-0.77,0.173,0.16,0.887,0.14,0.559,22350
FACT complex subunit SPT16  ,sp|Q920B9|SP16H_MOUSE,Q920B9,Supt16h,0.01,0.957,0.25,0.117,-0.12,0.714,-0.36,0.746,114741
FACT complex subunit SSRP1  ,sp|Q08943|SSRP1_MOUSE,Q08943,Ssrp1,-0.03,0.853,0.33,0.294,-0.21,0.586,-0.63,0.915,20833
F-actin-capping protein subunit alpha-1  ,sp|P47753|CAZA1_MOUSE,P47753,Capza1,-0.19,0.272,0.13,0.451,-0.56,0.185,-0.88,0.016,12340
F-actin-capping protein subunit alpha-2  ,sp|P47754|CAZA2_MOUSE,P47754,Capza2,-0.06,0.736,0.19,0.335,-0.3,0.935,-0.29,0.314,12343
FAD synthase  ,sp|Q8R123|FAD1_MOUSE,Q8R123,Flad1,0.03,0.87,0.03,0.979,0.34,0.552,0.37,0.39,319945
FAD-linked sulfhydryl oxidase ALR  ,sp|P56213|ALR_MOUSE,P56213,Gfer,0.12,0.601,0.03,0.279,0.17,0.447,0.84,0.424,11692
Far upstream element-binding protein 1  ,sp|Q91WJ8|FUBP1_MOUSE,Q91WJ8,Fubp1,-0.21,0.273,-0.23,0.391,-0.1,0.341,0.06,0.608,51886
Far upstream element-binding protein 2  ,sp|Q3U0V1|FUBP2_MOUSE,Q3U0V1,Khsrp,-0.21,0.225,-0.43,0.1,-0.11,0.267,0.18,0.089,16549
Farnesyl pyrophosphate synthase  ,sp|Q920E5|FPPS_MOUSE,Q920E5,Fdps,-0.83,0.015,-0.62,0.082,-0.18,0.967,-0.49,0.438,110196
Fas apoptotic inhibitory molecule 1  ,sp|Q9WUD8|FAIM1_MOUSE,Q9WUD8,Faim,0.02,0.932,0.19,0.372,0.14,0.993,0.23,0.866,23873
FAS-associated factor 1  ,sp|P54731|FAF1_MOUSE,P54731,Faf1,-0.08,0.73,0.17,0.642,0.27,0.35,0.31,0.371,14084
Fascin  ,sp|Q61553|FSCN1_MOUSE,Q61553,Fscn1,0.76,0.164,0.76,0.268,0.59,0.72,0.78,0.757,14086
Fatty acid synthase  ,sp|P19096|FAS_MOUSE,P19096,Fasn,0.01,0.974,-0.03,0.721,0.07,0.912,0.18,0.856,14104
"Fatty acid-binding protein, adipocyte  ",sp|P04117|FABP4_MOUSE,P04117,Fabp4,1.48,0.081,1.43,0.113,1.72,0.152,1.9,0.487,11770
"Fatty acid-binding protein, epidermal  ",sp|Q05816|FABP5_MOUSE,Q05816,Fabp5,-0.42,0.2,-0.91,0.062,-0.96,0.142,-0.44,0.326,16592
